  Tau |   Act |     Sim Rg |  Discrete Rg | Difference
-------------------------------------------------------
  0.1 |     0 |    20.2581 |      20.2177 |     0.0404
  0.1 |     8 |    19.7631 |      19.9763 |    -0.2132
  0.1 |    16 |    18.6556 |      18.9011 |    -0.2455
  0.1 |    32 |    15.2994 |      15.1311 |     0.1683
  0.1 |    48 |    13.3465 |      13.4611 |    -0.1146
  0.1 |    64 |    12.0189 |      12.4084 |    -0.3895
  0.1 |    72 |    11.8082 |      12.0123 |    -0.2041
  0.1 |    80 |    11.6309 |      11.6180 |     0.0130
  0.1 |    88 |    11.5038 |      11.5696 |    -0.0658
  0.1 |    96 |    11.3083 |      11.5324 |    -0.2241
  0.1 |   104 |    11.1903 |      11.3539 |    -0.1636
  1.0 |     0 |    20.2492 |      20.1868 |     0.0624
  1.0 |     8 |    19.3313 |      19.7023 |    -0.3709
  1.0 |    16 |    17.2308 |      16.9690 |     0.2617
  1.0 |    32 |    13.0018 |      13.2877 |    -0.2859
  1.0 |    48 |    11.7620 |      11.7951 |    -0.0331
  1.0 |    64 |    11.3512 |      11.5315 |    -0.1803
  1.0 |    72 |    11.2175 |      11.4493 |    -0.2318
  1.0 |    80 |    11.2068 |      11.5097 |    -0.3028
  1.0 |    88 |    11.2721 |      11.4989 |    -0.2268
  1.0 |    96 |    11.3009 |      11.6083 |    -0.3074
  1.0 |   104 |    11.4195 |      11.6397 |    -0.2202
  4.0 |     0 |    20.2179 |      20.3082 |    -0.0902
  4.0 |     8 |    16.2232 |      16.7841 |    -0.5609
  4.0 |    16 |    13.0026 |      13.1199 |    -0.1174
  4.0 |    32 |    11.9417 |      12.0920 |    -0.1503
  4.0 |    48 |    12.2999 |      12.6124 |    -0.3125
  4.0 |    64 |    13.0719 |      13.4748 |    -0.4028
  4.0 |    72 |    13.5381 |      13.8050 |    -0.2668
  4.0 |    80 |    14.0245 |      14.3907 |    -0.3662
  4.0 |    88 |    14.5933 |      14.9919 |    -0.3986
  4.0 |    96 |    15.1401 |      15.5037 |    -0.3635
  4.0 |   104 |    15.5365 |      15.9979 |    -0.4613
  7.0 |     0 |    20.2019 |      20.2785 |    -0.0766
  7.0 |     8 |    14.5221 |      14.7288 |    -0.2067
  7.0 |    16 |    12.4383 |      12.6364 |    -0.1981
  7.0 |    32 |    12.7543 |      12.8740 |    -0.1196
  7.0 |    48 |    13.8280 |      14.0554 |    -0.2274
  7.0 |    64 |    15.0420 |      15.3102 |    -0.2681
  7.0 |    72 |    15.7019 |      15.9849 |    -0.2830
  7.0 |    80 |    16.4756 |      16.7812 |    -0.3056
  7.0 |    88 |    16.9520 |      17.3073 |    -0.3553
  7.0 |    96 |    17.1207 |      17.6121 |    -0.4914
  7.0 |   104 |    17.0928 |      17.6239 |    -0.5312
 10.0 |     0 |    20.1753 |      20.2872 |    -0.1119
 10.0 |     8 |    13.5215 |      13.5503 |    -0.0288
 10.0 |    16 |    12.4750 |      12.6934 |    -0.2183
 10.0 |    32 |    13.4895 |      13.8307 |    -0.3412
 10.0 |    48 |    14.8650 |      15.1686 |    -0.3036
 10.0 |    64 |    16.3284 |      16.7248 |    -0.3964
 10.0 |    72 |    17.2753 |      17.5097 |    -0.2344
 10.0 |    80 |    17.8789 |      18.1036 |    -0.2248
 10.0 |    88 |    17.8586 |      18.4075 |    -0.5488
 10.0 |    96 |    17.8402 |      18.3740 |    -0.5338
 10.0 |   104 |    17.8550 |      18.4272 |    -0.5722
 13.0 |     0 |    20.2452 |      20.1956 |     0.0497
 13.0 |     8 |    13.1619 |      13.4090 |    -0.2472
 13.0 |    16 |    12.8445 |      13.1556 |    -0.3111
 13.0 |    32 |    14.2033 |      14.4024 |    -0.1991
 13.0 |    48 |    15.6543 |      15.9281 |    -0.2738
 13.0 |    64 |    17.3705 |      17.7147 |    -0.3443
 13.0 |    72 |    18.1355 |      18.5712 |    -0.4357
 13.0 |    80 |    18.4316 |      18.7798 |    -0.3482
 13.0 |    88 |    18.2521 |      18.8622 |    -0.6102
 13.0 |    96 |    18.0433 |      18.7484 |    -0.7051
 13.0 |   104 |    17.9634 |      18.5126 |    -0.5492
 19.0 |     0 |    20.1451 |      20.3262 |    -0.1812
 19.0 |     8 |    13.2342 |      13.3763 |    -0.1421
 19.0 |    16 |    13.4727 |      13.7735 |    -0.3009
 19.0 |    32 |    15.1692 |      15.3085 |    -0.1393
 19.0 |    48 |    16.7947 |      17.0338 |    -0.2391
 19.0 |    64 |    18.6943 |      19.0515 |    -0.3572
 19.0 |    72 |    19.1542 |      19.6566 |    -0.5025
 19.0 |    80 |    18.9198 |      19.5459 |    -0.6261
 19.0 |    88 |    18.7744 |      19.3836 |    -0.6092
 19.0 |    96 |    18.2877 |      19.1758 |    -0.8881
 19.0 |   104 |    18.2344 |      18.8150 |    -0.5806
