# Ensemble Averaged Rg data from last 20% of runs
# Tau Activity Average_Rg
0.1 0 20.193404
0.1 8 20.038565
0.1 16 18.941299
0.1 32 16.048253
0.1 48 14.167556
0.1 64 12.570678
0.1 72 12.059339
0.1 80 11.931181
0.1 88 11.655551
0.1 96 11.377053
0.1 104 11.155520
1 0 20.273912
1 8 19.571757
1 16 16.381723
1 32 13.028340
1 48 11.665786
1 64 11.398415
1 72 11.190689
1 80 11.249235
1 88 11.179255
1 96 11.267288
1 104 11.360701
4 0 20.274610
4 8 16.597454
4 16 12.847414
4 32 11.957624
4 48 12.328027
4 64 13.143473
4 72 13.679494
4 80 14.137029
4 88 14.786136
4 96 15.239296
4 104 15.665199
7 0 20.254228
7 8 14.180591
7 16 12.476321
7 32 12.754384
7 48 13.951723
7 64 15.178590
7 72 15.925427
7 80 16.668833
7 88 17.134346
7 96 17.323993
7 104 17.303364
10 0 20.279078
10 8 13.589711
10 16 12.542253
10 32 13.627603
10 48 14.897957
10 64 16.592379
10 72 17.472012
10 80 17.861979
10 88 18.054078
10 96 18.006945
10 104 17.821406
13 0 20.249061
13 8 13.289882
13 16 12.906784
13 32 14.210079
13 48 15.762760
13 64 17.537389
13 72 18.337157
13 80 18.503339
13 88 18.358504
13 96 18.265779
13 104 18.079054
19 0 20.294656
19 8 13.353417
19 16 13.572570
19 32 15.168490
19 48 16.771198
19 64 18.997954
19 72 19.182737
19 80 19.135777
19 88 18.983666
19 96 18.792679
19 104 18.256416
