f_a,tau,A,C,D,E
0.0,0.1,0.5618748520107786,0.9937531564107507,0.0,0.0
8.0,0.1,0.5618748520107786,1.9182266533840064,0.4293179231412134,0.014165730945067383
16.0,0.1,0.5618748520107786,1.2973924116364854,1.7923907276064197,-0.005559640584854805
32.0,0.1,0.5618748520107786,4.157826007216775,4.628957531726895,0.0021777368669204304
48.0,0.1,0.5618748520107786,11.06286456664932,8.278450840558362,0.0014379669220266178
64.0,0.1,0.5618748520107786,18.87810916750638,11.493496610747378,0.001099626826559684
72.0,0.1,0.5618748520107786,21.830356299803995,12.622622182907847,0.000977619114922596
80.0,0.1,0.5618748520107786,25.22224918647468,13.622555497898665,0.0008900692952200295
88.0,0.1,0.5618748520107786,27.869717102555036,14.46470031708408,0.000826759216874194
96.0,0.1,0.5618748520107786,29.52649606824548,14.995259673820591,0.0007611865561890533
104.0,0.1,0.5618748520107786,30.869599006762215,15.463086680951049,0.0007177691102298083
0.0,1.0,0.5604101993542459,0.7780328369573484,0.0,0.0
8.0,1.0,0.5604101993542459,0.6622619457226772,1.1969744117745187,0.008334714440964733
16.0,1.0,0.5604101993542459,2.9774321758584947,3.5948061158834514,-0.003770375165723511
32.0,1.0,0.5604101993542459,10.1866401380656,8.379429510389508,-0.0018132018466938428
48.0,1.0,0.5604101993542459,15.942328487230082,11.067094933732665,-0.0013452135055636199
64.0,1.0,0.5604101993542459,18.274350929528424,12.045253940514296,-0.0011734639044443987
72.0,1.0,0.5604101993542459,18.63721960613481,12.204875339353231,-0.0011291577496745123
80.0,1.0,0.5604101993542459,17.483070276171077,12.063976954893604,-0.0010805049345990149
88.0,1.0,0.5604101993542459,17.051251528925068,12.006482416885321,-0.0010872924453579817
96.0,1.0,0.5604101993542459,16.482253662685945,12.011419674980496,-0.0010725814003778574
104.0,1.0,0.5604101993542459,15.728213675144541,11.957990518228888,-0.0010709148239912887
0.0,4.0,0.5600393642137899,0.47312979171777586,0.0,0.0
8.0,4.0,0.5600393642137899,2.9924930384029866,4.1736707344177075,0.005703398906995135
16.0,4.0,0.5600393642137899,7.9986516319602305,7.592996485368581,-0.003048249744564442
32.0,4.0,0.5600393642137899,9.273588225884366,8.329161793331489,-0.002377371719971781
48.0,4.0,0.5600393642137899,7.3137874646352055,7.587630872445981,-0.002348284052259678
64.0,4.0,0.5600393642137899,5.954828484037418,7.258068960222429,-0.0025318769479923545
72.0,4.0,0.5600393642137899,5.661495626470958,7.314525293565939,-0.0026181148482738547
80.0,4.0,0.5600393642137899,5.370747573869788,7.400061290169338,-0.0025904512599361626
88.0,4.0,0.5600393642137899,5.088219066499206,7.491470389495529,-0.0025808055552605296
96.0,4.0,0.5600393642137899,4.995445825321077,7.819596394987521,-0.0025630407501411085
104.0,4.0,0.5600393642137899,5.221854329750038,8.432621603839927,-0.0024962278754017075
0.0,7.0,0.5584217306688457,0.7449422878161244,0.0,0.0
8.0,7.0,0.5584217306688457,4.877204212658303,5.620485652031662,0.005193736526730467
16.0,7.0,0.5584217306688457,8.325698528007148,7.877717226643908,0.003559852435554812
32.0,7.0,0.5584217306688457,6.058745240586944,6.778820756857036,0.003305628525622813
48.0,7.0,0.5584217306688457,4.752514497238854,6.326854902835941,0.003809421509527152
64.0,7.0,0.5584217306688457,4.054908078162689,6.292539497536251,0.0038519762163496257
72.0,7.0,0.5584217306688457,3.830170059865571,6.439368304241093,0.0038260221633337112
80.0,7.0,0.5584217306688457,3.7837116233763735,6.776656538359484,0.003691124185197609
88.0,7.0,0.5584217306688457,4.216681027017461,7.616282612200338,0.0036128355148761335
96.0,7.0,0.5584217306688457,4.734764375860587,8.583473241585697,0.00335052963457031
104.0,7.0,0.5584217306688457,5.666810208774683,9.791670403772361,0.003169754190514427
0.0,10.0,0.5584238541929635,1.4094009393931208,0.0,0.0
8.0,10.0,0.5584238541929635,5.86600808275138,6.380644392062137,0.005311006226836788
16.0,10.0,0.5584238541929635,6.938129485685766,7.2652447508989475,0.004186596704447
32.0,10.0,0.5584238541929635,4.6909754714182235,5.962732541557173,0.004667140055225734
48.0,10.0,0.5584238541929635,4.076483147452168,6.0247122325273805,0.0053511747710047845
64.0,10.0,0.5584238541929635,3.5143602500597844,6.188032416104986,0.005062025186081495
72.0,10.0,0.5584238541929635,3.584551292389271,6.609218010085816,0.004921056542964985
80.0,10.0,0.5584238541929635,3.9431772190692183,7.4661719720678965,0.004613707677887344
88.0,10.0,0.5584238541929635,4.5242628609988635,8.520913244633821,0.004132308923073792
96.0,10.0,0.5584238541929635,5.215510071153717,9.57946947496538,0.0036898537751668984
104.0,10.0,0.5584238541929635,5.9718835369134196,10.663867896557331,0.003289421997007811
0.0,13.0,0.5622808000958871,1.887124907262112,0.0,0.0
8.0,13.0,0.5622808000958871,5.984633171360661,6.528918248706726,0.005705946100026921
16.0,13.0,0.5622808000958871,5.8932260907545295,6.60605345042853,0.004902701414836104
32.0,13.0,0.5622808000958871,4.238332254272633,5.737946861275516,0.006283716480872152
48.0,13.0,0.5622808000958871,3.7577819290715864,5.883743705850272,0.0067441244210925365
64.0,13.0,0.5622808000958871,3.505097945205467,6.423279548754615,0.006361495764072609
