# Bond length fluctuation mode variances (taking last 30% of steps)
# Tau Act p Variance
0.1 0 0 3.1439149023061505e-05
0.1 0 1 1.5824914126622206e-05
0.1 0 2 1.5733734998201272e-05
0.1 0 3 1.5683002474274538e-05
0.1 0 4 1.578385315151929e-05
0.1 0 5 1.5828601104994432e-05
0.1 0 6 1.604758272735238e-05
0.1 0 7 1.590141001393098e-05
0.1 0 8 1.584344639951021e-05
0.1 0 9 1.5742663447573574e-05
0.1 0 10 1.5845007213411504e-05
0.1 0 11 1.5877271799701405e-05
0.1 0 12 1.6000375782632506e-05
0.1 0 13 1.595078486017874e-05
0.1 0 14 1.5887491906408654e-05
0.1 0 15 1.6008119445433114e-05
0.1 0 16 1.5728681118606793e-05
0.1 0 17 1.6162967644544972e-05
0.1 0 18 1.557281697710337e-05
0.1 0 19 1.601119421611531e-05
0.1 0 20 1.606963542061175e-05
0.1 0 21 1.596823391173258e-05
0.1 0 22 1.5763505504113e-05
0.1 0 23 1.6240683750667647e-05
0.1 0 24 1.6123381030889364e-05
0.1 0 25 1.5899136515929388e-05
0.1 0 26 1.6349393433309598e-05
0.1 0 27 1.5640914079055238e-05
0.1 0 28 1.5965875687374945e-05
0.1 0 29 1.5882302903051055e-05
0.1 0 30 1.5409210692790957e-05
0.1 0 31 1.5687845292486564e-05
0.1 0 32 1.605304022763494e-05
0.1 0 33 1.591918214915458e-05
0.1 0 34 1.6072209839873855e-05
0.1 0 35 1.5931168628541215e-05
0.1 0 36 1.5697819277503402e-05
0.1 0 37 1.5925732216409095e-05
0.1 0 38 1.6089745387032602e-05
0.1 0 39 1.6042358789541747e-05
0.1 0 40 1.604280125750377e-05
0.1 0 41 1.583753271603705e-05
0.1 0 42 1.618150037551242e-05
0.1 0 43 1.596016148997119e-05
0.1 0 44 1.6095551125306688e-05
0.1 0 45 1.594319568962077e-05
0.1 0 46 1.5962617176445367e-05
0.1 0 47 1.6186619512835444e-05
0.1 0 48 1.5950503460966085e-05
0.1 0 49 1.589096218755088e-05
0.1 0 50 1.5893316370442002e-05
0.1 0 51 1.6040228069449884e-05
0.1 0 52 1.5943754753580306e-05
0.1 0 53 1.6109001927327253e-05
0.1 0 54 1.5926067527097757e-05
0.1 0 55 1.6152687741240124e-05
0.1 0 56 1.6001477084516978e-05
0.1 0 57 1.589764717200701e-05
0.1 0 58 1.6180986712322838e-05
0.1 0 59 1.601996090972429e-05
0.1 0 60 1.6071023018828145e-05
0.1 0 61 1.5809074724188484e-05
0.1 0 62 1.6201243936019228e-05
0.1 0 63 1.823643713590073e-33
0.1 8 0 3.366388528082161e-05
0.1 8 1 1.606292878564211e-05
0.1 8 2 1.6210137127546682e-05
0.1 8 3 1.6032003695650348e-05
0.1 8 4 1.5920208618967807e-05
0.1 8 5 1.6119602139512563e-05
0.1 8 6 1.5851712617465947e-05
0.1 8 7 1.5727964362084024e-05
0.1 8 8 1.5928825447222125e-05
0.1 8 9 1.593841823471529e-05
0.1 8 10 1.590929435130173e-05
0.1 8 11 1.5746359178323712e-05
0.1 8 12 1.6017928864035824e-05
0.1 8 13 1.5786970306063085e-05
0.1 8 14 1.5728823308482888e-05
0.1 8 15 1.6112286065386817e-05
0.1 8 16 1.599500613941409e-05
0.1 8 17 1.6062696498614435e-05
0.1 8 18 1.5921884197607603e-05
0.1 8 19 1.5841170847794794e-05
0.1 8 20 1.591775266617898e-05
0.1 8 21 1.5892164812349443e-05
0.1 8 22 1.601697438253481e-05
0.1 8 23 1.5892995826126814e-05
0.1 8 24 1.5646125527819522e-05
0.1 8 25 1.590485183353365e-05
0.1 8 26 1.6085624124793445e-05
0.1 8 27 1.6052690766588564e-05
0.1 8 28 1.5864750108122276e-05
0.1 8 29 1.5993044484705366e-05
0.1 8 30 1.589997794340517e-05
0.1 8 31 1.5957121948421196e-05
0.1 8 32 1.6048387270040332e-05
0.1 8 33 1.587052923147969e-05
0.1 8 34 1.5933689078058585e-05
0.1 8 35 1.5953662303137753e-05
0.1 8 36 1.6091830683799588e-05
0.1 8 37 1.60743481951791e-05
0.1 8 38 1.5914577375957202e-05
0.1 8 39 1.609043760209382e-05
0.1 8 40 1.5983802021443283e-05
0.1 8 41 1.6129944062520098e-05
0.1 8 42 1.5984039242844537e-05
0.1 8 43 1.6174976938852286e-05
0.1 8 44 1.5829467169721307e-05
0.1 8 45 1.6082555327839997e-05
0.1 8 46 1.6151448373625888e-05
0.1 8 47 1.6054281817602497e-05
0.1 8 48 1.6032663405141685e-05
0.1 8 49 1.61003546640911e-05
0.1 8 50 1.603295454163019e-05
0.1 8 51 1.613443195471197e-05
0.1 8 52 1.608340589965836e-05
0.1 8 53 1.6098341402040092e-05
0.1 8 54 1.609243622602309e-05
0.1 8 55 1.5918862639293655e-05
0.1 8 56 1.593433810089498e-05
0.1 8 57 1.588410336789618e-05
0.1 8 58 1.6000441954721903e-05
0.1 8 59 1.632694386038756e-05
0.1 8 60 1.618179123753675e-05
0.1 8 61 1.6022466348858845e-05
0.1 8 62 1.615132916501483e-05
0.1 8 63 1.8436483834559786e-33
0.1 16 0 3.863651474075977e-05
0.1 16 1 1.7476574881902732e-05
0.1 16 2 1.7396132477966715e-05
0.1 16 3 1.7041697494750523e-05
0.1 16 4 1.6353634582575555e-05
0.1 16 5 1.614485274060114e-05
0.1 16 6 1.5996073133359666e-05
0.1 16 7 1.6209971531174486e-05
0.1 16 8 1.6069244381691673e-05
0.1 16 9 1.5803379670165828e-05
0.1 16 10 1.583401144690496e-05
0.1 16 11 1.591532956171012e-05
0.1 16 12 1.5949092461788303e-05
0.1 16 13 1.6221772262168272e-05
0.1 16 14 1.585700973910763e-05
0.1 16 15 1.6043292203779926e-05
0.1 16 16 1.610303220006264e-05
0.1 16 17 1.5927002260722e-05
0.1 16 18 1.5887128270069956e-05
0.1 16 19 1.604918821142698e-05
0.1 16 20 1.5701252230917892e-05
0.1 16 21 1.584604946186617e-05
0.1 16 22 1.590883179730286e-05
0.1 16 23 1.5936487855463697e-05
0.1 16 24 1.5864460947845214e-05
0.1 16 25 1.6254259688508335e-05
0.1 16 26 1.6019174182412306e-05
0.1 16 27 1.587097378666171e-05
0.1 16 28 1.6121855056034457e-05
0.1 16 29 1.5963364370264764e-05
0.1 16 30 1.6031472421494014e-05
0.1 16 31 1.610931917853287e-05
0.1 16 32 1.5796419370758077e-05
0.1 16 33 1.5900105774922577e-05
0.1 16 34 1.6164404568442403e-05
0.1 16 35 1.5999486578155806e-05
0.1 16 36 1.6168328927973893e-05
0.1 16 37 1.6015694081623368e-05
0.1 16 38 1.6198757277672817e-05
0.1 16 39 1.6131447887187084e-05
0.1 16 40 1.5913495969184743e-05
0.1 16 41 1.591741011346764e-05
0.1 16 42 1.613881607834545e-05
0.1 16 43 1.597416925808053e-05
0.1 16 44 1.6072471965861275e-05
0.1 16 45 1.5774788909988865e-05
0.1 16 46 1.6003579206894712e-05
0.1 16 47 1.6329747185194896e-05
0.1 16 48 1.619325548574757e-05
0.1 16 49 1.6011266423044297e-05
0.1 16 50 1.5912038312542445e-05
0.1 16 51 1.612334527809019e-05
0.1 16 52 1.6145412590631543e-05
0.1 16 53 1.5727567908062e-05
0.1 16 54 1.5983008428019695e-05
0.1 16 55 1.5742929552513033e-05
0.1 16 56 1.613417232124706e-05
0.1 16 57 1.5993415477778986e-05
0.1 16 58 1.6335843389802392e-05
0.1 16 59 1.6024585959859208e-05
0.1 16 60 1.6305428112720564e-05
0.1 16 61 1.6091117542437625e-05
0.1 16 62 1.6148878067758828e-05
0.1 16 63 1.846687756352658e-33
0.1 32 0 6.055567805566578e-05
0.1 32 1 2.5445682292492047e-05
0.1 32 2 2.3925235732866647e-05
0.1 32 3 2.168152652102244e-05
0.1 32 4 2.0221600108545866e-05
0.1 32 5 1.9124719689593584e-05
0.1 32 6 1.8167303159881727e-05
0.1 32 7 1.7763716294642577e-05
0.1 32 8 1.780376349433137e-05
0.1 32 9 1.7313694914761902e-05
0.1 32 10 1.7267729659217757e-05
0.1 32 11 1.703689357247101e-05
0.1 32 12 1.727677348352878e-05
0.1 32 13 1.7015459208105103e-05
0.1 32 14 1.7091912502799602e-05
0.1 32 15 1.7040232206258968e-05
0.1 32 16 1.70166790924399e-05
0.1 32 17 1.678894576819669e-05
0.1 32 18 1.6901674294673855e-05
0.1 32 19 1.6676855552781453e-05
0.1 32 20 1.662675392660672e-05
0.1 32 21 1.680667330583516e-05
0.1 32 22 1.6799118994963666e-05
0.1 32 23 1.645237672226162e-05
0.1 32 24 1.6620032854508915e-05
0.1 32 25 1.656404713545743e-05
0.1 32 26 1.6413390925313673e-05
0.1 32 27 1.6376427941441178e-05
0.1 32 28 1.6356988686335774e-05
0.1 32 29 1.676316705797561e-05
0.1 32 30 1.6380241649965364e-05
0.1 32 31 1.644338970481782e-05
0.1 32 32 1.6535723200528075e-05
0.1 32 33 1.6647073985446586e-05
0.1 32 34 1.6317296024224003e-05
0.1 32 35 1.6295449477376386e-05
0.1 32 36 1.6575996717619643e-05
0.1 32 37 1.6422453232732943e-05
0.1 32 38 1.615727100470097e-05
0.1 32 39 1.625992497530466e-05
0.1 32 40 1.615317346258338e-05
0.1 32 41 1.6384972023745718e-05
0.1 32 42 1.601141515538032e-05
0.1 32 43 1.6126124060819717e-05
0.1 32 44 1.6501881290551562e-05
0.1 32 45 1.6394189446553774e-05
0.1 32 46 1.632546001930899e-05
0.1 32 47 1.661664910650294e-05
0.1 32 48 1.6402779311430912e-05
0.1 32 49 1.6351142403904823e-05
0.1 32 50 1.6165237314546725e-05
0.1 32 51 1.6168545640450477e-05
0.1 32 52 1.6451171494244108e-05
0.1 32 53 1.6449961451741705e-05
0.1 32 54 1.6335366665301727e-05
0.1 32 55 1.6066612912957046e-05
0.1 32 56 1.63896382411328e-05
0.1 32 57 1.6201323752059706e-05
0.1 32 58 1.6353826128519262e-05
0.1 32 59 1.6232215210802334e-05
0.1 32 60 1.621240947482088e-05
0.1 32 61 1.6293088862935553e-05
0.1 32 62 1.6193308346826387e-05
0.1 32 63 1.9689993073674155e-33
0.1 48 0 0.00010298256050255672
0.1 48 1 4.0142415133828724e-05
0.1 48 2 3.820455120903746e-05
0.1 48 3 3.3481002233988514e-05
0.1 48 4 2.9534267930198544e-05
0.1 48 5 2.6453717854222882e-05
0.1 48 6 2.431192198545797e-05
0.1 48 7 2.2888454754542784e-05
0.1 48 8 2.1810313383192175e-05
0.1 48 9 2.113444867329593e-05
0.1 48 10 2.0864037162607588e-05
0.1 48 11 2.0493680425583646e-05
0.1 48 12 2.0127871886199884e-05
0.1 48 13 1.9896138374832345e-05
0.1 48 14 1.974700441171164e-05
0.1 48 15 1.9695201714681078e-05
0.1 48 16 1.9816227439668313e-05
0.1 48 17 1.9427536176207e-05
0.1 48 18 1.9459700272837128e-05
0.1 48 19 1.9063725275170925e-05
0.1 48 20 1.9142544999235094e-05
0.1 48 21 1.8872941901814694e-05
0.1 48 22 1.8549905724564293e-05
0.1 48 23 1.874097617869176e-05
0.1 48 24 1.8872774342931306e-05
0.1 48 25 1.8400836832822526e-05
0.1 48 26 1.8474706466564176e-05
0.1 48 27 1.8256031028711287e-05
0.1 48 28 1.837375626177248e-05
0.1 48 29 1.8284220846620684e-05
0.1 48 30 1.8224420569880822e-05
0.1 48 31 1.799899138272732e-05
0.1 48 32 1.8025129770783974e-05
0.1 48 33 1.8049639826235846e-05
0.1 48 34 1.7707542568702723e-05
0.1 48 35 1.7634358089093402e-05
0.1 48 36 1.7890331379266756e-05
0.1 48 37 1.7643828008402948e-05
0.1 48 38 1.752155818858297e-05
0.1 48 39 1.7170333915211392e-05
0.1 48 40 1.750793731957014e-05
0.1 48 41 1.7443924310483484e-05
0.1 48 42 1.731059320751513e-05
0.1 48 43 1.734565597725716e-05
0.1 48 44 1.7325278650868463e-05
0.1 48 45 1.7197209983998212e-05
0.1 48 46 1.7157218675186027e-05
0.1 48 47 1.705945768568106e-05
0.1 48 48 1.7280542172691156e-05
0.1 48 49 1.7240145322035175e-05
0.1 48 50 1.7126653319846368e-05
0.1 48 51 1.7261663161519584e-05
0.1 48 52 1.723175654358578e-05
0.1 48 53 1.6868557549050526e-05
0.1 48 54 1.6989935323044133e-05
0.1 48 55 1.7154360891783978e-05
0.1 48 56 1.741162441292183e-05
0.1 48 57 1.711374921449068e-05
0.1 48 58 1.7213767226268183e-05
0.1 48 59 1.757782817742948e-05
0.1 48 60 1.7121447539858587e-05
0.1 48 61 1.7189173129405744e-05
0.1 48 62 1.7323163850047896e-05
0.1 48 63 2.13179861486093e-33
0.1 64 0 0.0001749381440005888
0.1 64 1 6.501582617288226e-05
0.1 64 2 6.189077868223869e-05
0.1 64 3 5.485531644808343e-05
0.1 64 4 4.611043643611357e-05
0.1 64 5 3.926058091660993e-05
0.1 64 6 3.5507782972169654e-05
0.1 64 7 3.2462321409128684e-05
0.1 64 8 3.0316354810848687e-05
0.1 64 9 2.848454357348687e-05
0.1 64 10 2.7169078435711333e-05
0.1 64 11 2.673022117997183e-05
0.1 64 12 2.615286930404268e-05
0.1 64 13 2.5602499276880025e-05
0.1 64 14 2.501034809551233e-05
0.1 64 15 2.501965751327854e-05
0.1 64 16 2.3996876136365333e-05
0.1 64 17 2.4513460817345617e-05
0.1 64 18 2.424435629317641e-05
0.1 64 19 2.367877396892229e-05
0.1 64 20 2.3671271765100872e-05
0.1 64 21 2.3685354278406492e-05
0.1 64 22 2.3266791238708715e-05
0.1 64 23 2.3061670484132294e-05
0.1 64 24 2.286307984367331e-05
0.1 64 25 2.2626807287384077e-05
0.1 64 26 2.231615207355173e-05
0.1 64 27 2.2346710985330674e-05
0.1 64 28 2.2095593194184024e-05
0.1 64 29 2.1655129515920668e-05
0.1 64 30 2.131670098957922e-05
0.1 64 31 2.153943633638759e-05
0.1 64 32 2.1269097420943145e-05
0.1 64 33 2.1151462892017405e-05
0.1 64 34 2.107295380711537e-05
0.1 64 35 2.1075196688225003e-05
0.1 64 36 2.0555439279863805e-05
0.1 64 37 2.0598852612493047e-05
0.1 64 38 2.0420809651121105e-05
0.1 64 39 2.054737673212109e-05
0.1 64 40 2.030424803378805e-05
0.1 64 41 2.0240166510411548e-05
0.1 64 42 2.0007889479592408e-05
0.1 64 43 2.003244841484274e-05
0.1 64 44 1.995164397214971e-05
0.1 64 45 2.007542393918151e-05
0.1 64 46 1.98605847070462e-05
0.1 64 47 1.9604399957840976e-05
0.1 64 48 1.9627827790999078e-05
0.1 64 49 1.9548759040305703e-05
0.1 64 50 1.920048745324374e-05
0.1 64 51 1.9386113635169674e-05
0.1 64 52 1.989787788192288e-05
0.1 64 53 1.933638717676538e-05
0.1 64 54 1.969813140892792e-05
0.1 64 55 1.9123640568851244e-05
0.1 64 56 1.9739282509173236e-05
0.1 64 57 1.938741008492602e-05
0.1 64 58 1.9336787917285208e-05
0.1 64 59 1.9238019958017275e-05
0.1 64 60 1.9235058783966062e-05
0.1 64 61 1.9200229485648474e-05
0.1 64 62 1.9437911183691718e-05
0.1 64 63 2.63795846990669e-33
0.1 72 0 0.00022903302988957285
0.1 72 1 8.508647935937403e-05
0.1 72 2 8.162133590876932e-05
0.1 72 3 6.764241116310667e-05
0.1 72 4 5.7829255665158835e-05
0.1 72 5 4.954673459572995e-05
0.1 72 6 4.3785489558396644e-05
0.1 72 7 3.923112690440561e-05
0.1 72 8 3.6076062050479384e-05
0.1 72 9 3.361456342128311e-05
0.1 72 10 3.2039467003765604e-05
0.1 72 11 3.1474036049986866e-05
0.1 72 12 3.087865341940236e-05
0.1 72 13 2.9033648260743616e-05
0.1 72 14 2.8885742184889408e-05
0.1 72 15 2.9161425665000732e-05
0.1 72 16 2.830844875986957e-05
0.1 72 17 2.8219874380702244e-05
0.1 72 18 2.726067462073171e-05
0.1 72 19 2.711193688731119e-05
0.1 72 20 2.6926181541025376e-05
0.1 72 21 2.6539591710278622e-05
0.1 72 22 2.626474233131361e-05
0.1 72 23 2.5846683069088193e-05
0.1 72 24 2.594641682766567e-05
0.1 72 25 2.550588789574422e-05
0.1 72 26 2.524420344897401e-05
0.1 72 27 2.502154685270753e-05
0.1 72 28 2.457229327506978e-05
0.1 72 29 2.468996750438953e-05
0.1 72 30 2.430784965102404e-05
0.1 72 31 2.4060128525180895e-05
0.1 72 32 2.369061754663314e-05
0.1 72 33 2.3388075601618113e-05
0.1 72 34 2.3387760972729923e-05
0.1 72 35 2.2976749096788422e-05
0.1 72 36 2.3293292865198383e-05
0.1 72 37 2.2866117081220408e-05
0.1 72 38 2.2859785276506096e-05
0.1 72 39 2.3050664617909692e-05
0.1 72 40 2.2522086599455426e-05
0.1 72 41 2.263084412263956e-05
0.1 72 42 2.223741166937001e-05
0.1 72 43 2.219255058505879e-05
0.1 72 44 2.1932743379286543e-05
0.1 72 45 2.210923465756301e-05
0.1 72 46 2.1920210943993203e-05
0.1 72 47 2.159878648886105e-05
0.1 72 48 2.1524323953006313e-05
0.1 72 49 2.1516782608454694e-05
0.1 72 50 2.1244672149192372e-05
0.1 72 51 2.1287968323132393e-05
0.1 72 52 2.1470067599413547e-05
0.1 72 53 2.1267224944051326e-05
0.1 72 54 2.126351758006808e-05
0.1 72 55 2.110072704042989e-05
0.1 72 56 2.1130994492247907e-05
0.1 72 57 2.12615581008338e-05
0.1 72 58 2.134910173570409e-05
0.1 72 59 2.1039013784320578e-05
0.1 72 60 2.104933797842194e-05
0.1 72 61 2.123491542872964e-05
0.1 72 62 2.114613740194411e-05
0.1 72 63 3.0225648719411034e-33
0.1 80 0 0.00029664145736891037
0.1 80 1 0.00010791764942056282
0.1 80 2 0.00010123603510691773
0.1 80 3 8.63295738329466e-05
0.1 80 4 7.209229492475591e-05
0.1 80 5 6.145564636760806e-05
