# Ensemble Averaged Bond Length data from last 20% of runs
# Tau Activity Average_BondLength
0.1 0 1.122827
0.1 8 1.122781
0.1 16 1.122795
0.1 32 1.123517
0.1 48 1.125633
0.1 64 1.129257
0.1 72 1.131735
0.1 80 1.134730
0.1 88 1.137965
0.1 96 1.141792
0.1 104 1.145830
1 0 1.122843
1 8 1.122778
1 16 1.123071
1 32 1.126029
1 48 1.132689
1 64 1.143013
1 72 1.149478
1 80 1.157065
1 88 1.165215
1 96 1.174494
1 104 1.184884
4 0 1.122835
4 8 1.123183
4 16 1.126539
4 32 1.143564
4 48 1.174227
4 64 1.216737
4 72 1.242648
4 80 1.270934
4 88 1.303750
4 96 1.338324
4 104 1.371108
7 0 1.122828
7 8 1.124078
7 16 1.131241
7 32 1.162119
7 48 1.212404
7 64 1.279532
7 72 1.319130
7 80 1.364904
7 88 1.404053
7 96 1.432484
7 104 1.452564
10 0 1.122847
10 8 1.125075
10 16 1.135656
10 32 1.177711
10 48 1.242951
10 64 1.327643
10 72 1.378092
10 80 1.423157
10 88 1.451431
10 96 1.470238
10 104 1.485539
13 0 1.122813
13 8 1.126193
13 16 1.139960
13 32 1.192146
13 48 1.266064
13 64 1.366841
13 72 1.418385
13 80 1.454073
13 88 1.474443
13 96 1.488511
13 104 1.501406
19 0 1.122822
19 8 1.128339
19 16 1.147633
19 32 1.212632
19 48 1.300872
19 64 1.416493
19 72 1.459823
19 80 1.483722
19 88 1.498061
19 96 1.508432
19 104 1.519417
