# Tau Act n Variance
# (n=0 represents var_a0_sq)
0.1 0 0 0.9438750691969543
0.1 0 1 0.3224328286214725
0.1 0 2 0.11425771742843963
0.1 0 3 0.05458869701910754
0.1 0 4 0.03140977139814508
0.1 0 5 0.019814661845576682
0.1 0 6 0.01408685941828106
0.1 0 7 0.01044490551525511
0.1 0 8 0.008095612546255014
0.1 0 9 0.00635570985226965
0.1 0 10 0.00522566932732254
0.1 0 11 0.004352939895751325
0.1 0 12 0.003657032645244208
0.1 0 13 0.003117143761461406
0.1 0 14 0.002732013669485404
0.1 0 15 0.0023726194613261854
0.1 0 16 0.0020992951295231593
0.1 0 17 0.0018746567049628443
0.1 0 18 0.001702085303029862
0.1 0 19 0.0015363619220651926
0.1 0 20 0.0014024056809327462
0.1 0 21 0.0012866186036203779
0.1 0 22 0.0011799022271518295
0.1 0 23 0.0010924267317118145
0.1 0 24 0.0010203685912932403
0.1 0 25 0.0009554947947796279
0.1 0 26 0.0008836905856329749
0.1 0 27 0.0008297991486114146
0.1 0 28 0.0007848675585006054
0.1 0 29 0.0007444578778424326
0.1 0 30 0.0006991291191224356
0.1 0 31 0.0006681468522009132
0.1 0 32 0.0006395437234151451
0.1 0 33 0.0006092434537561951
0.1 0 34 0.0005823612779337471
0.1 0 35 0.0005598589639510687
0.1 0 36 0.0005330575214977546
0.1 0 37 0.0005167559403437917
0.1 0 38 0.0004947606826085801
0.1 0 39 0.00047881971141131274
0.1 0 40 0.00046483349703590923
0.1 0 41 0.0004522589629492315
0.1 0 42 0.0004404039233567495
0.1 0 43 0.0004297996645208098
0.1 0 44 0.00042050596510359275
0.1 0 45 0.0004025497251106701
0.1 0 46 0.00039684423392374196
0.1 0 47 0.0003872038108467102
0.1 0 48 0.0003809640609992922
0.1 0 49 0.0003752304429897244
0.1 0 50 0.0003728638090120537
0.1 0 51 0.00036071955260278283
0.1 0 52 0.0003609710913958832
0.1 0 53 0.0003564425171355422
0.1 0 54 0.0003530404134315083
0.1 0 55 0.0003481707628131921
0.1 0 56 0.00034561540492508296
0.1 0 57 0.0003415262665531384
0.1 0 58 0.00034009892531664855
0.1 0 59 0.00033719237704411175
0.1 0 60 0.0003346765844682779
0.1 0 61 0.00033361244123879854
0.1 0 62 0.0003358672871043423
0.1 0 63 2.7725983279477406e-30
0.1 8 0 0.6918080222657609
0.1 8 1 0.634934685085644
0.1 8 2 0.20918234484073223
0.1 8 3 0.09441094900958441
0.1 8 4 0.05222267311430745
0.1 8 5 0.03239593661316405
0.1 8 6 0.02139412958538039
0.1 8 7 0.015266064914034578
0.1 8 8 0.011120913825005081
0.1 8 9 0.008490275651040494
0.1 8 10 0.006604886933994364
0.1 8 11 0.005319954624805733
0.1 8 12 0.004410419265404652
0.1 8 13 0.0036942368745138203
0.1 8 14 0.003136036952237875
0.1 8 15 0.00273673267803095
0.1 8 16 0.002391357290477374
0.1 8 17 0.002101021726020263
0.1 8 18 0.0018717715889454492
0.1 8 19 0.001654278222349703
0.1 8 20 0.0015157374371796387
0.1 8 21 0.0013683663891652074
0.1 8 22 0.0012546046970211236
0.1 8 23 0.0011541204641554652
0.1 8 24 0.0010686628963109104
0.1 8 25 0.0009888376235119487
0.1 8 26 0.0009254168334484607
0.1 8 27 0.0008645878118041779
0.1 8 28 0.0008111564333512191
0.1 8 29 0.0007641884413603406
0.1 8 30 0.0007309384806263123
0.1 8 31 0.0006804820926787976
0.1 8 32 0.0006478667240915943
0.1 8 33 0.0006221909144892249
0.1 8 34 0.0005911741780358943
0.1 8 35 0.000566868809440347
0.1 8 36 0.0005426317833172931
0.1 8 37 0.0005230033634073027
0.1 8 38 0.0005012275409710007
0.1 8 39 0.00048714011274276716
0.1 8 40 0.00047412050787143346
0.1 8 41 0.00045660493081761737
0.1 8 42 0.00044563087104841826
0.1 8 43 0.0004267973643793773
0.1 8 44 0.0004191098547306324
0.1 8 45 0.0004074284674467824
0.1 8 46 0.0004035963163948539
0.1 8 47 0.0003934191943967201
0.1 8 48 0.0003862217071527174
0.1 8 49 0.0003785830175467127
0.1 8 50 0.0003711804801914383
0.1 8 51 0.000364060455696981
0.1 8 52 0.0003609106642141341
0.1 8 53 0.0003576907373746207
0.1 8 54 0.00035393435325779734
0.1 8 55 0.00034955908294575946
0.1 8 56 0.00034797666348215556
0.1 8 57 0.0003451011149757873
0.1 8 58 0.00034381461367471105
0.1 8 59 0.00034038673220458367
0.1 8 60 0.0003370037010002392
0.1 8 61 0.0003380157806265951
0.1 8 62 0.00033567206309337527
0.1 8 63 2.2799968891675003e-30
0.1 16 0 0.5211389802216156
0.1 16 1 0.6299264190022739
0.1 16 2 0.31727224722363834
0.1 16 3 0.1682641533405879
0.1 16 4 0.10027901573786796
0.1 16 5 0.06349501429519125
0.1 16 6 0.04379129153805482
0.1 16 7 0.030773247940031754
0.1 16 8 0.022495857663355837
0.1 16 9 0.01660192077457046
0.1 16 10 0.0125938129555978
0.1 16 11 0.009857571006925962
0.1 16 12 0.00784555412082967
0.1 16 13 0.006346481234789305
0.1 16 14 0.005212965689912536
0.1 16 15 0.004321004194250045
0.1 16 16 0.0036401359176336163
0.1 16 17 0.003107776265538352
0.1 16 18 0.002687741068449595
0.1 16 19 0.0023420771714970025
0.1 16 20 0.002067313573183466
0.1 16 21 0.001819134895122272
0.1 16 22 0.001633496756479906
0.1 16 23 0.001461525398797158
0.1 16 24 0.001319080079129725
0.1 16 25 0.0012031319589048683
0.1 16 26 0.001105095129083634
0.1 16 27 0.0010143243801745408
0.1 16 28 0.0009345721896872598
0.1 16 29 0.0008737664043404
0.1 16 30 0.0008221129432781183
0.1 16 31 0.0007667301646472277
0.1 16 32 0.0007244637093614297
0.1 16 33 0.0006876672581971892
0.1 16 34 0.0006492574023285417
0.1 16 35 0.0006122319694069343
0.1 16 36 0.0005891916177901203
0.1 16 37 0.000561479094159871
0.1 16 38 0.0005425530931150605
0.1 16 39 0.0005214753907422388
0.1 16 40 0.0005017758655939709
0.1 16 41 0.0004883512867055713
0.1 16 42 0.0004692712255558956
0.1 16 43 0.00045731656851961033
0.1 16 44 0.0004415811977367077
0.1 16 45 0.0004319305995799757
0.1 16 46 0.0004220494771349839
0.1 16 47 0.0004108314480146119
0.1 16 48 0.0004049582407410197
0.1 16 49 0.00039816213404867415
0.1 16 50 0.0003885811142239939
0.1 16 51 0.00038485239328063444
0.1 16 52 0.0003768278208627126
0.1 16 53 0.0003702897805472452
0.1 16 54 0.00036400218169253384
0.1 16 55 0.0003629241129355699
0.1 16 56 0.00036199862244621516
0.1 16 57 0.00035556961390862074
0.1 16 58 0.00035411759187361445
0.1 16 59 0.0003521215436864032
0.1 16 60 0.00034950757286537725
0.1 16 61 0.0003507632954138632
0.1 16 62 0.0003452951584514934
0.1 16 63 2.0555472635172372e-30
0.1 32 0 0.28121470075898264
0.1 32 1 0.4937453924402614
0.1 32 2 0.4022338411919753
0.1 32 3 0.261487443114154
0.1 32 4 0.18234642936072534
0.1 32 5 0.1338232370268087
0.1 32 6 0.09601460761550122
0.1 32 7 0.07258349945237119
0.1 32 8 0.05589415488120158
0.1 32 9 0.043408187862329806
0.1 32 10 0.03514495776279476
0.1 32 11 0.02803003456207336
0.1 32 12 0.02251350835311252
0.1 32 13 0.018533977984046032
0.1 32 14 0.015371161346591854
0.1 32 15 0.012750138482123138
0.1 32 16 0.010727803204304293
0.1 32 17 0.008922330744212472
0.1 32 18 0.007624898231228422
0.1 32 19 0.006472672791646959
0.1 32 20 0.005562060960754198
0.1 32 21 0.004766037044074229
0.1 32 22 0.004139605634501081
0.1 32 23 0.003624823344161983
0.1 32 24 0.003128602487360471
0.1 32 25 0.0027863087397781974
0.1 32 26 0.0024319959903380288
0.1 32 27 0.002179122310739393
0.1 32 28 0.001958206272594769
0.1 32 29 0.0017481366286132786
0.1 32 30 0.001581832919655201
0.1 32 31 0.0014421772593149827
0.1 32 32 0.0013098813616994145
0.1 32 33 0.0012106218432003434
0.1 32 34 0.001119706107566638
0.1 32 35 0.0010236558796747916
0.1 32 36 0.0009572566711651277
0.1 32 37 0.000894379491924558
0.1 32 38 0.0008352623900137429
0.1 32 39 0.0007883033478214508
0.1 32 40 0.0007430932695395862
0.1 32 41 0.0007031927326384197
0.1 32 42 0.0006702774822280834
0.1 32 43 0.0006462029751561951
0.1 32 44 0.000614934933457976
0.1 32 45 0.0005837095318048722
0.1 32 46 0.0005708299759751018
0.1 32 47 0.0005487442198132079
0.1 32 48 0.0005372430557845421
0.1 32 49 0.0005211410397799331
0.1 32 50 0.0005089155524485427
0.1 32 51 0.000495376986137628
0.1 32 52 0.00048764317907661417
0.1 32 53 0.0004760716858173409
0.1 32 54 0.0004664684631707165
0.1 32 55 0.0004593589257832815
0.1 32 56 0.0004510819333748934
0.1 32 57 0.0004457471859264071
0.1 32 58 0.00044199778649494807
0.1 32 59 0.0004418294135222175
0.1 32 60 0.00043951474393268987
0.1 32 61 0.0004332142335571463
0.1 32 62 0.00043676858350444347
0.1 32 63 2.184642591430342e-30
0.1 48 0 0.22732583876556145
0.1 48 1 0.38582096094119633
0.1 48 2 0.342510474598312
0.1 48 3 0.25936304535586635
0.1 48 4 0.1973423696973015
0.1 48 5 0.1545186539143642
0.1 48 6 0.12161374360749401
0.1 48 7 0.0965672722478756
0.1 48 8 0.07839778896731235
0.1 48 9 0.06419985777861865
0.1 48 10 0.05281352920105716
0.1 48 11 0.04414828843389952
0.1 48 12 0.036999410773086674
0.1 48 13 0.031121507654812138
0.1 48 14 0.026168550955374223
0.1 48 15 0.022291267113311183
0.1 48 16 0.019244906157718837
0.1 48 17 0.01660625175693789
0.1 48 18 0.014132350564418517
0.1 48 19 0.012305207614711834
0.1 48 20 0.01066189472136694
0.1 48 21 0.00931094706198626
0.1 48 22 0.008148940689784718
0.1 48 23 0.007102392612931734
0.1 48 24 0.006255777414931174
0.1 48 25 0.005550478724454637
0.1 48 26 0.0049234804747274015
0.1 48 27 0.004367041519590676
0.1 48 28 0.0038931968415297697
0.1 48 29 0.003492427093684801
0.1 48 30 0.003130535291663582
0.1 48 31 0.0028293440532423213
0.1 48 32 0.002566534207110384
0.1 48 33 0.002309836218443428
0.1 48 34 0.0021162073556505586
0.1 48 35 0.001946119826131068
0.1 48 36 0.0017925874272011891
0.1 48 37 0.0016515456676768022
0.1 48 38 0.0015331764877189625
0.1 48 39 0.0014245934648636415
0.1 48 40 0.0013253095355341676
0.1 48 41 0.0012460113767681646
0.1 48 42 0.001169771169375766
0.1 48 43 0.0011090536205471287
0.1 48 44 0.001043636685835112
0.1 48 45 0.0009919126755402047
0.1 48 46 0.0009516493193448331
0.1 48 47 0.0009075869227196334
0.1 48 48 0.0008685352189638689
0.1 48 49 0.0008352768406778761
0.1 48 50 0.0008054031325827848
0.1 48 51 0.0007887447317755393
0.1 48 52 0.0007604674960301344
0.1 48 53 0.0007410908995879517
0.1 48 54 0.0007263615495405229
0.1 48 55 0.00071047723919146
0.1 48 56 0.000701285011558064
0.1 48 57 0.0006875536951554947
0.1 48 58 0.0006820230204468121
0.1 48 59 0.000677519590971828
0.1 48 60 0.0006656850773869101
0.1 48 61 0.0006682291667254247
0.1 48 62 0.0006602645853682582
0.1 48 63 2.6204942441554883e-30
0.1 64 0 0.19781175899923206
0.1 64 1 0.3416450198732207
0.1 64 2 0.3085955856478678
0.1 64 3 0.2454377908638056
0.1 64 4 0.194935461423857
0.1 64 5 0.15758238408582892
0.1 64 6 0.13007577252795335
0.1 64 7 0.10814376318126806
0.1 64 8 0.08936205330881584
0.1 64 9 0.07490006926558354
0.1 64 10 0.06307717131694891
0.1 64 11 0.05367362150584525
0.1 64 12 0.045825041571646914
0.1 64 13 0.03934565177505844
0.1 64 14 0.03410635397125032
0.1 64 15 0.02936614830657991
0.1 64 16 0.02542667012647684
0.1 64 17 0.02231749022337979
0.1 64 18 0.019658721416687546
0.1 64 19 0.017038673885805492
0.1 64 20 0.015084307821166383
0.1 64 21 0.013251069528752686
0.1 64 22 0.01171054898339955
0.1 64 23 0.010396464637832375
0.1 64 24 0.0092019996888308
0.1 64 25 0.008172349427847092
0.1 64 26 0.007372891217104513
0.1 64 27 0.0065700667273883955
0.1 64 28 0.0059193486814447666
0.1 64 29 0.0053489522022119405
0.1 64 30 0.004823010519632177
0.1 64 31 0.004360852768131224
0.1 64 32 0.003948537037090368
0.1 64 33 0.0035994171129448142
0.1 64 34 0.0033136728989944996
0.1 64 35 0.0030471799321182
0.1 64 36 0.0027717980530574757
0.1 64 37 0.002581466877708352
0.1 64 38 0.0023880840793893544
0.1 64 39 0.0022160722372087842
0.1 64 40 0.0020559459727934747
0.1 64 41 0.0019429458760176982
0.1 64 42 0.0017927377254387292
0.1 64 43 0.0017093678066488654
0.1 64 44 0.001610117899712923
0.1 64 45 0.0015296445429152006
0.1 64 46 0.0014536873029577057
0.1 64 47 0.001382167318517099
0.1 64 48 0.001331900690598859
0.1 64 49 0.0012687390670187582
0.1 64 50 0.0012264609622400489
0.1 64 51 0.001190850625967614
0.1 64 52 0.001155271436208078
0.1 64 53 0.0011212883082119044
0.1 64 54 0.0010945071804697112
0.1 64 55 0.0010757795200633214
0.1 64 56 0.0010561476483703612
0.1 64 57 0.0010366079847031506
0.1 64 58 0.0010235299792959258
0.1 64 59 0.0010160413717111335
0.1 64 60 0.0010102804891097934
0.1 64 61 0.0010000033354133392
0.1 64 62 0.000985117613935899
0.1 64 63 2.9036947800175735e-30
0.1 72 0 0.19566250617561343
0.1 72 1 0.3237717002827454
0.1 72 2 0.29880251203068586
0.1 72 3 0.23575192654705293
0.1 72 4 0.1919353284916071
0.1 72 5 0.15743197148820953
0.1 72 6 0.13215691283744901
0.1 72 7 0.10910211941976822
0.1 72 8 0.09202399245373806
0.1 72 9 0.07833316340113458
0.1 72 10 0.0668611487017306
0.1 72 11 0.056738189090147884
0.1 72 12 0.048822913396676076
0.1 72 13 0.04185087200847382
0.1 72 14 0.03619566388402713
0.1 72 15 0.03172102501291101
0.1 72 16 0.027785325220832966
0.1 72 17 0.024568198716022567
0.1 72 18 0.021424584081723853
0.1 72 19 0.018915984433731096
0.1 72 20 0.016620435146300752
0.1 72 21 0.014875476699624962
0.1 72 22 0.013156368965591688
0.1 72 23 0.011715683750497793
0.1 72 24 0.010395737109203421
0.1 72 25 0.009373852855324192
0.1 72 26 0.00835816849568125
0.1 72 27 0.007498109087616884
0.1 72 28 0.0067654097441781635
0.1 72 29 0.006064412418565514
0.1 72 30 0.005532710149757114
0.1 72 31 0.00503202941941375
0.1 72 32 0.004568749139212376
0.1 72 33 0.00419276342176446
0.1 72 34 0.003821430893187528
0.1 72 35 0.0034989486707533153
0.1 72 36 0.0032162069990755073
0.1 72 37 0.0029849507397833354
0.1 72 38 0.002756247919578481
0.1 72 39 0.0025726245821077174
0.1 72 40 0.002403745346532053
0.1 72 41 0.0022509004848333494
0.1 72 42 0.002103750760704692
0.1 72 43 0.001984493983927916
0.1 72 44 0.0018795352856963998
0.1 72 45 0.0017780956194946291
0.1 72 46 0.0017011933796382917
0.1 72 47 0.0016246044031392223
0.1 72 48 0.0015527240510931197
0.1 72 49 0.0015070486343352128
0.1 72 50 0.001439447000538009
0.1 72 51 0.001391074207555015
0.1 72 52 0.0013515395474337354
0.1 72 53 0.0013201209516166168
0.1 72 54 0.001280227524039392
0.1 72 55 0.0012559005535511497
0.1 72 56 0.0012321251000151096
0.1 72 57 0.0012070592547067437
0.1 72 58 0.0012030925769960733
0.1 72 59 0.001188096758355511
0.1 72 60 0.0011778988336591087
0.1 72 61 0.001164581791946982
0.1 72 62 0.0011393330928563211
0.1 72 63 3.0562905691438413e-30
0.1 80 0 0.1951669501055776
0.1 80 1 0.3132491129283532
0.1 80 2 0.2913871338037161
0.1 80 3 0.23471424839615462
0.1 80 4 0.18743435857971946
0.1 80 5 0.156870551013552
0.1 80 6 0.13095659291378195
0.1 80 7 0.11115324609443732
0.1 80 8 0.09336058924074897
0.1 80 9 0.08024469762552643
0.1 80 10 0.068414188673136
